                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0187,                 2.4086,                 1.3167,                0.50646,                0.54502,                0.52673,                0.35265,                 1.0263,                 1.6079,                 1.2989,             0.00016491,             0.00016491,             0.00016491
                      2,                0.87384,                 1.2513,                 1.1759,                0.55688,                0.60909,                0.58298,                0.39205,                 1.0604,                 1.4868,                 1.3363,             0.00032501,             0.00032501,             0.00032501
                      3,                0.82918,                  1.054,                 1.1437,                0.63409,                0.61162,                 0.6527,                0.42961,                 1.0927,                 1.3642,                  1.386,             0.00047852,             0.00047852,             0.00047852
                      4,                0.79188,                0.95441,                 1.1265,                  0.671,                0.56839,                0.62117,                0.42878,                 1.0719,                 1.3867,                 1.3715,              0.0004703,              0.0004703,              0.0004703
                      5,                0.75981,                0.87393,                 1.1015,                 0.6011,                0.64612,                0.63881,                0.43848,                 1.0286,                 1.3014,                 1.3435,              0.0004604,              0.0004604,              0.0004604
                      6,                0.73482,                0.81175,                 1.0873,                 0.7062,                0.62344,                0.66907,                0.46407,                 1.0389,                 1.2542,                 1.3463,              0.0004505,              0.0004505,              0.0004505
                      7,                0.69947,                0.75288,                 1.0629,                0.64633,                  0.654,                0.64918,                0.45295,                 1.0214,                 1.2793,                 1.3261,              0.0004406,              0.0004406,              0.0004406
                      8,                0.68621,                0.71316,                 1.0586,                0.64243,                0.68698,                0.68667,                0.49014,                 0.9862,                 1.1946,                 1.3052,              0.0004307,              0.0004307,              0.0004307
                      9,                0.67318,                0.69902,                 1.0468,                  0.702,                0.66428,                0.69972,                0.49197,                 0.9938,                 1.1523,                 1.3193,              0.0004208,              0.0004208,              0.0004208
                     10,                0.64825,                0.65767,                 1.0346,                0.72717,                0.62415,                0.69233,                0.48996,                0.98347,                 1.2438,                 1.3207,              0.0004109,              0.0004109,              0.0004109
                     11,                0.63251,                0.62137,                 1.0242,                 0.7194,                0.70668,                0.71689,                0.51134,                0.97237,                 1.1219,                 1.2882,               0.000401,               0.000401,               0.000401
                     12,                0.61506,                0.59845,                 1.0135,                0.70108,                0.63193,                0.67236,                0.47826,                0.99187,                 1.1851,                 1.3224,              0.0003911,              0.0003911,              0.0003911
                     13,                0.60988,                0.58831,                 1.0129,                0.67946,                0.67838,                0.69987,                0.50637,                0.96032,                 1.1271,                 1.2782,              0.0003812,              0.0003812,              0.0003812
                     14,                0.59516,                0.57533,                 1.0073,                 0.7668,                0.67265,                0.73319,                0.53027,                0.96044,                 1.1505,                 1.2959,              0.0003713,              0.0003713,              0.0003713
